Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Exclusive Вионье - Рислинг,Белое,Золотистый,Кубань,Вионье,"Вкус: Свежий с цитрусовым послевкусием. Яркий ароматный, цветочно-фруктовый с нотами глицинии, лайма, грейфрута и тропических фруктов.",Шато Пино,shato-pino-exclusive-vione-risling-beloe-suhoe-115,shato-pino-vione-risling-beloe-suhoe-115.webp,prod-svoe-vino-strapi\shato_pino_vione_risling_beloe_suhoe_115_00ae6e439c.webp,ok,1,False,
Exclusive Каберне Совиньон - Шираз,Красное,Темно-красный,Кубань,Каберне Совиньон,"Вкус: Полный, бархатистый, с легкими шоколадными нотами. Ноты черной смородины, ежевики.",Шато Пино,shato-pino-exclusive-kaberne-sovinon-shiraz-krasnoe-suhoe-135,shato-pino-kaberne-sovinon-shiraz-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_kaberne_sovinon_shiraz_krasnoe_suhoe_135_943e3e76b8.webp,ok,1,False,
Exclusive Пино Нуар - Мерло,Красное,Рубиново-красный,Кубань,Пино Нуар,"Вкус: Гармоничный, мягкий, полный с фруктовым послевкусием. Сложный с нотами лакрицы, вишни, чернослива и легким оттенком душистого перца.",Шато Пино,shato-pino-exclusive-pino-nuar-merlo-krasnoe-suhoe-135,shato-pino-pino-nuarmerlo-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_pino_nuarmerlo_krasnoe_suhoe_135_976c341758.webp,ok,1,False,
Exclusive Шардоне - Пино Гри,Белое,Светло-желтый,Кубань,Шардоне,"Вкус: Свежий гармоничный. Ноты зеленого яблока, персика и цветов акации.",Шато Пино,shato-pino-exclusive-shardone-pino-gri-beloe-suhoe-125,shato-pino-shardone-pino-gri-beloe-suhoe-125.webp,prod-svoe-vino-strapi\shato_pino_shardone_pino_gri_beloe_suhoe_125_2bbaea4aa5.webp,ok,1,False,
Fagotine,Белое,Золотистый,Кубань,"Мускат, Пино Гри","В аромате запеченные в меду яблоки и груши, легкие цитрусовые ноты, цукаты и леденцы. Во вкусе сладость отлично гармонирует с умеренной кислотностью, тона цитрусовых цукатов, конфет и белой черешни, есть легкий намек на пряные травы. послевкусие цитрусовое и продолжительное.",Château Le Grand Vostock,chteau-le-grand-vostock-fagotine-pino-gri-beloe-polusladkoe-105,chteau-le-grand-vostock-fagotine-pino-gri-beloe-polusladkoe-105.webp,prod-svoe-vino-strapi\chteau_le_grand_vostock_fagotine_pino_gri_beloe_polusladkoe_105_03a77419a2.webp,ok,1,False,
Fagotine,Розовое,Розовый,Кубань,Пино Гри,"В аромате красные ягоды с цитрусовыми нотками. Во вкусе тона клубники и леденцов, сладость хорошо гармонирует с кислотностью, длительное фруктовое послевкусие.",Château Le Grand Vostock,chteau-le-grand-vostock-fagotine-pino-gri-rozovoe-polusladkoe-11,chteau-le-grand-vostock-fagotine-pino-gri-rozovoe-polusladkoe-11.webp,prod-svoe-vino-strapi\chteau_le_grand_vostock_fagotine_pino_gri_rozovoe_polusladkoe_11_674bd59659.webp,ok,1,False,
Fanagoria Extra Brut Rose 2019,Розовое,Розовый,Кубань,"Пино Нуар, Шардоне","В аромате красные ягоды, цитрус, бриошь. Вкус свежий, с ягодно-сливочным послевкусием.",Фанагория,fanagoriya-fanagoria-extra-brut-rose-2019-pino-nuar-igristoe-bryut-rozovoe-ekstra-bryut-12,fanagoriya-fanagoria-extra-brut-rose-2019-pino-nuar-igristoe-bryut-rozovoe-ekstra-bryut-12.webp,prod-svoe-vino-strapi\fanagoriya_fanagoria_extra_brut_rose_2019_pino_nuar_igristoe_bryut_rozovoe_ekstra_bryut_12_aef88041a9.webp,ok,1,False,
Femme d’Abrau,Красное,Насыщенный рубиновый,Кубань,Амурский Потапенко,"В аромате цветочные ноты пионов и фиалок, тона черных ягод и фруктов, шелковицы, черной смородины и ежевики с нотой пряностей. Во вкусе цветочные ноты пионов и фиалок, тона черных ягод и фруктов, шелковицы, черной смородины и ежевики с нотой пряностей.",Абрау-Дюрсо,abrau-dyurso-femme-dabrau-amurskiy-potapenko-krasnoe-suhoe-107,abrau-dyurso-femme-dabrau-amurskiy-potapenko-krasnoe-suhoe-107.webp,prod-svoe-vino-strapi\abrau_dyurso_femme_dabrau_amurskiy_potapenko_krasnoe_suhoe_107_d599cb8a22.webp,ok,1,False,
Fiori di Mare красное полусухое,Красное,Рубиновый,Дагестан,"Мерло, Молдова, Пино Нуар","В свежем аромате гармонично переплетаются нежные ягодные и цветочные ноты. В легком, питком, манящем вкусе преобладают цитрусовые тона, дополненные мягкой перечной ноткой и тонкой сладостью красных ягод из сиропа. Выраженная кислотность прекрасно балансирует остаточный сахар и дарит свежее, стойкое послевкусие.
",Дербент Вино,fiori-di-mare-krasnoe-polusuhoe,Дербент Вино Фьори ди Маре Ди Каспико.webp,prod-svoe-vino-strapi\Derbent_Vino_Fori_di_Mare_Di_Kaspiko_d67089804b.webp,ok,1,False,
Flute Блауфранкиш,Розовое,Бледно-розовый,Кубань,Блауфранкиш,"Вкус: Вкус округлый, свежий, красные ягоды, клубника, вишня, сладкий грейпфрут. Хорошая кислотность, плотное тело, хорошая структура, уверенное, прекрасно сбалансированное, гастрономичное. Красные ягоды, вишня, клубника.",Мысхако,vinodelnya-myshako-flute-blaufrankish-rozovoe-bryut-126,vinodelnya-myshako-flute-blaufrankish-igristoe-bryut-rozovoe-126.webp,prod-svoe-vino-strapi\vinodelnya_myshako_flute_blaufrankish_igristoe_bryut_rozovoe_126_131ed09b46.webp,ok,1,False,
Flute брют белое,Белое,Соломенный,Кубань,Шардоне,"Вкус: Мягкий, чистый, с фруктово-минеральными акцентами и пикантной кислинкой в сбалансированном послевкусии. Белые цветы, яблоки.",Мысхако,vinodelnya-myshako-flute-bryut-beloe-shardone-11,vinodelnya-myshako-flute-bryut-beloe-shardone-igristoe-bryut-beloe-11.webp,prod-svoe-vino-strapi\vinodelnya_myshako_flute_bryut_beloe_shardone_igristoe_bryut_beloe_11_ddbe12b9ec.webp,ok,1,False,
Flute Вионье Алиготе,Белое,Соломенный,Кубань,Вионье,"Вкус: Свежий, аккуратный с легкими тонами засахаренного лимона и нюансами орехов. Цитрусовые и нюансы белых цветов.",Мысхако,vinodelnya-myshako-flute-vione-aligote-beloe-bryut-12,vinodelnya-myshako-flute-vione-aligote-igristoe-bryut-beloe-12.webp,prod-svoe-vino-strapi\vinodelnya_myshako_flute_vione_aligote_igristoe_bryut_beloe_12_84a5f5532f.webp,ok,1,False,
Flute Гевюрцтраминер Совиньон Блан,Белое,Соломенный,Кубань,Гевюрцтраминер,"Вкус: Яркий с оттенком леденцов монпансье, выразительной минеральностью и долгим послевкусием, в котором ощущается засахаренная цедра апельсина. Тропические фрукты, мёд и спелый розовый персик.",Мысхако,vinodelnya-myshako-flute-gevyurtstraminer-sovinon-blan-beloe-bryut-122,vinodelnya-myshako-flute-gevyurtstraminer-sovinon-blan-igristoe-bryut-beloe-122.webp,prod-svoe-vino-strapi\vinodelnya_myshako_flute_gevyurtstraminer_sovinon_blan_igristoe_bryut_beloe_122_9d73a2d644.webp,ok,1,False,
Formula Q,Красное,Тёмно-рубиновый,Кубань,"Каберне Совиньон, Красностоп Золотовский, Мерло, Саперави","В аромате черника, смородина, вишня, тёрн, сливочные оттенки. Вкус сочный, с длительным пряным послевкусием.",Фанагория,fanagoriya-formula-q-saperavi-krasnoe-suhoe-135,fanagoriya-formula-q-saperavi-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\fanagoriya_formula_q_saperavi_krasnoe_suhoe_135_3ac72505f2.webp,ok,1,False,
Gewurztraminer de Gai-Kodzor,Белое,Светло-соломенный,Кубань,Гевюрцтраминер,"Вкус: Свежий, с приятной кислотностью и тонами сладких цитрусовых и спелых экзотических фруктов. Насыщенный с нотами тропических фруктов, медовой груши, личи и розовых лепестков.",Виноградники Гай-Кодзора,vinogradniki-gay-kodzora-gewurztraminer-de-gai-kodzor-gevyurtstraminer-beloe-polusuhoe-135,vinogradniki-gay-kodzora-gewurztraminer-de-gai-kodzor-gevyurtstraminer-beloe-polusuhoe-135.webp,prod-svoe-vino-strapi\vinogradniki_gay_kodzora_gewurztraminer_de_gai_kodzor_gevyurtstraminer_beloe_polusuhoe_135_2e99cb319b.webp,ok,1,False,
"Glu Glu Butch, 2022",Красное,Прозрачный красный,Кубань,Красностоп,"Вино прозрачного красного цвета выглядит лёгким и выразительным. Его вкус сочный и питкий, с деликатной терпкостью и насыщенной палитрой ягодных и фруктовых оттенков, формирующих свежий и гармоничный профиль. Аромат яркий, плодовоягодный, раскрывающийся чистыми и привлекательными фруктовыми нюансами.

Холодная мацерация 14 дней. Бережное прессование и брожение при контролируемой температуре. Работа с осадком.",WINEMAFIA,glu-glu-butch,Glu Glu Butch.webp,prod-svoe-vino-strapi\Glu_Glu_Butch_16c03662bc.webp,ok,1,False,
"Glu Glu Mr.Mouse, 2022",Красное,Прозрачно красный,Кубань,Саперави,"Вино прозрачного красного цвета с насыщенным, питким и сочным вкусом. Во вкусовой палитре раскрывается богатство ягодных и фруктовых оттенков, придающих вину выразительность и лёгкость восприятия. Аромат яркий, плодово-ягодный, подчёркивающий свежий и живой характер вина.

Холодная мацерация 14 дней. Бережное прессование и брожение при контролируемой температуре. Работа с осадком.",WINEMAFIA,glu-glu-mr-mouse-2022,glu glu mouse.webp,prod-svoe-vino-strapi\glu_glu_mouse_3ef17a8f95.webp,ok,1,False,
"Glu Glu Samba, 2022",Красное,Прозрачный красный,Кубань,Каберне Совиньон,"Вино прозрачного красного цвета выглядит ярко и привлекательно. Во вкусе оно сочное и питкое, с лёгкой, деликатной терпкостью и богатой палитрой ягодных и фруктовых оттенков, создающих живой и гармоничный характер. Аромат яркий и выразительный, плодовоягодный, подчёркивающий свежесть и естественную фруктовость вина.

Холодная мацерация 14 дней. Бережное прессование и брожение при контролируемой температуре. Работа с осадком.",WINEMAFIA,glu-glu-samba,Glu Glu Samba.tif.webp,prod-svoe-vino-strapi\Glu_Glu_Samba_tif_1e45185066.webp,ok,1,False,
Golubitskoe Estate Chardonnay,Белое,Светло-соломенный,Кубань,Шардоне,"Вино демонстрирует гармоничный, свежий, лёгкий вкус фруктово-цветочными акцентами в сбалансированном послевкусии. Вино привлекает освежающим ароматом с доминирующими оттенками белых и косточковых фруктов и липового цвета. Вино светло-соломенного цвета.
",Поместье Голубицкое,golubitskoe-estate-chardonnay,Поместье Голубицкое Chardonnay .webp,prod-svoe-vino-strapi\Pomeste_Golubiczkoe_Chardonnay_fc05cb08e0.webp,ok,1,False,
Golubitskoe Estate Рислинг ,Белое,Золотисто-соломенный,Кубань,Рислинг,"Вино обладает чистым, мягким вкусом с гладкой текстурой, фруктово-цитрусовыми оттенками и живой кислинкой в длительном послевкусии. Вино привлекает освежающим, гармоничным ароматом, сотканным из нот персика, лимона, апельсина, минералов и трав.",Golubitskoe Estate,golubitskoe-estate-risling,Поместье Голубицкое Рислинг.webp,prod-svoe-vino-strapi\Pomeste_Golubiczkoe_Risling_02c2e84311.webp,ok,1,False,
Golubitskoe Rose,Розовое,Светло-розовое,Кубань,"Каберне Совиньон, Мерло, Пино Гриджио, Пино Нуар","Вино имеет светлый розовый цвет. У вина привлекательный ягодный аромат. Оттенки белых цветов и минералов создают красивое обрамление основным акцентам букета. Вино может похвастаться легким, сочным и живым вкусом с освежающей кислотностью и ярким, ягодным послевкусием.
",Поместье Голубицкое,golubitskoe-rose,Golubitskoe Estate Rose.webp,prod-svoe-vino-strapi\Golubitskoe_Estate_Rose_84adcc1cea.webp,ok,1,False,
Good Steak Cabernet,Красное,Рубиново-красный,Кубань,Каберне Совиньон,"Вкус вина сочный, фруктовый, с мягкими нюансами какао, округлыми танинами, умеренной кислотностью и объемным послевкусием с оттенками черных ягод и пряностей.
",Olymp Winery,good-steak-cabernet,Good Steak Cabernet.webp,prod-svoe-vino-strapi\Good_Steak_Cabernet_d88ef34cad.webp,ok,1,False,
Good Steak Merlot,Красное,Рубиновый,Кубань,Мерло,"Вкус вина сочный, фруктовый, с мягкой текстурой, округлыми танинами, умеренной кислотностью и свежим послевкусием.",Olymp Winery,good-steak-merlot,Good Steak Merlot.webp,prod-svoe-vino-strapi\Good_Steak_Merlot_2fe4acd615.webp,ok,1,False,
Grand Jete Blanc de Blancs,Белое,Бледно-золотистый,Кубань,Шардоне,"Аромат: элегантный, раскрывается в бокале оттенками белых персиков, нектаринов, весенних цветов и лимонного масла.

Вкус: чистое, с нежным перляжем, покоряет своей утонченностью и яркой кислотностью в послевкусии.

Особенность винификации

Сбор урожая проводится исключительно вручную во второй декаде августа. Тщательная инспекция гроздей. Прессование винограда проводилось целыми гроздями, без гребнеотделения, как это принято в технологии игристых вин. Для создания вина используется только самотек и сок первого давления (cuvee). 15% от общего объема было ферментировано и выдержано в бочках из кавказского дуба с последующей малолактикой. 85% от общего объема - это ферментация в стальных резервуарах со строгим температурным контролем. Вторичная ферментация и дальнейшая выдержка на осадке в бутылках не менее 36 месяцев.",Галицкий и Галицкий,grand-jete-blanc-de-blancs,output_img_021.webp,prod-svoe-vino-strapi\output_img_021_ecc606d2a1.webp,ok,1,False,
Grand Jete Blanc de Noirs,Белое,Золотисто-соломенный,Кубань,Пино Нуар,"Аромат: преобладают оттенки красного яблока, кумквата, свежих цитрусовых, засахаренного имбиря и бисквита.

Вкус: покоряет очаровательной кремовой текстурой, свежей кислотностью, пикантными нотами цитрусовых, минералов и специй.

Особенность винификации

Сбор урожая проводится исключительно вручную во второй декаде августа. Тщательная инспекция гроздей. Прессование винограда проводилось целыми гроздями, без гребнеотделения, как это принято в технологии игристых вин. Для создания вина используется только самотек и сок первого давления (cuvee). 15% от общего объема было ферментировано и выдержано в бочках из кавказского дуба с последующей малолактикой. 85% от общего объема - это ферментация в стальных резервуарах со строгим температурным контролем. Вторичная ферментация и дальнейшая выдержка на осадке в бутылках не менее 36 месяцев.",Галицкий и Галицкий,grand-jete-blanc-de-noirs,output_img_022.webp,prod-svoe-vino-strapi\output_img_022_62bebb88f8.webp,ok,1,False,
Grand Jete Cuvee,Белое,Светло-золотистый,Кубань,"Пино Нуар, Шардоне","Аромат: раскрывается оттенками белых фруктов, лимонной травы, свежего имбиря и слегка поджаренной бриоши.

Вкус: мягкое и обволакивающее. Сливочная текстура уравновешивается цитрусовой кислотностью, которая плавно переходит в долгое интригующее послевкусие.

Особенность винификации

Сбор урожая проводится исключительно вручную во второй декаде августа. Раздельная уборка и винификация каждого из сортов. Тщательная инспекция гроздей. Прессование винограда проводилось целыми гроздями, без гребнеотделения, как это принято в технологии создания игристых вин. Для вина используется только самотек и сок первого давления (cuvee) от Шардоне и Пино нуар. 10% от общего объема было сброжено и выдержано в дубовых бочках с полной малолактикой. 90% от объема - это выдержка и брожение в стали при контролируемой температуре. Ассамбляж. Вторичная ферментация и дальнейшая выдержка на осадке в бутылках не менее 36 месяцев.",Галицкий и Галицкий,grand-jete-cuvee,output_img_023.webp,prod-svoe-vino-strapi\output_img_023_118c0b2ab7.webp,ok,1,False,
Grand Jete Rose,Розовое,Бледно-розовый с лососевым оттенком,Кубань,"Пино Нуар, Цимлянский черный","Аромат: раскрывается красными ягодами со сливочным обертоном, нотами теплой выпечки и оттенками благородной выдержки на осадке.

Вкус: звонкая кислотность и минеральные оттенки. Прекрасный долгий финиш, великолепный баланс.

Особенность винификации

Ручной сбор при оптимальной стадии созревания для игристых вин каждого из сортов. Раздельная переработка винограда обоих сортов. Прессование винограда проводилось целыми гроздями, без гребнеотделения, как это принято в технологии создания игристых вин. Отбор сусла самотека не более 550 л/т. Брожение и выдержка в стали для 80% от общего объема, 20% - было сброжено в бочках из французского дуба. При создании ассамбляжа использовалось 20% резервных вин.",Галицкий и Галицкий,grand-jete-rose,output_img_024.webp,prod-svoe-vino-strapi\output_img_024_4a97c5528e.webp,ok,1,False,
Grand Karsov,Белое,Золотистый,Кубань,Шардоне,"Аромат интенсивный, в букете ярко раскрываются тона спелых белых фруктов, крем-брюле, пряностей и меда. Вкус округлый, хорошо сбалансированный, с нотами белых фруктов, меда и легким дубовым оттенком.",Château Le Grand Vostock,chteau-le-grand-vostock-grand-karsov-shardone-beloe-suhoe-14,chteau-le-grand-vostock-grand-karsov-shardone-beloe-suhoe-14.webp,prod-svoe-vino-strapi\chteau_le_grand_vostock_grand_karsov_shardone_beloe_suhoe_14_89c8c2d86d.webp,ok,1,False,
Grand Reserve Cabernet Franc,Красное,Темно-рубиновый,Кубань,Каберне Фран,"Вкус: Плотный вкус и насыщенное послевкусие черных пряных ягод. Мощный, ноты фиалки, ирисов, ежевики, черешни, специй и горького шоколада.",Шато Пино,shato-pino-grand-reserve-cabernet-franc-kaberne-fran-krasnoe-suhoe-135,shato-pino-kaberne-fran-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_kaberne_fran_krasnoe_suhoe_135_564b619998.webp,ok,1,False,
Grand Reserve Cabernet Sauvignon,Красное,Темно-вишневый,Кубань,Каберне Совиньон,"Вкус: Согревающе-обволакивающий терпкий с долгим, ягодным послевкусием. Черная смородина, чернослива, вишня, кизил, с нотами гвоздики, ванили, малинового джема.",Шато Пино,shato-pino-grand-reserve-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-135,shato-pino-kaberne-sovinon-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_kaberne_sovinon_krasnoe_suhoe_135_25b56d23d4.webp,ok,1,False,
Grand Reserve Chardonnay,Белое,Золотистый,Кубань,Шардоне,"Вкус: Вкус легкий, изящный, тонкой, свежий. Сливочно-минеральный с цитрусово-ванильным профилем. Цитрусовые и тропические фрукты: лайм, ананас, манго, медово-ванильное мороженое.",Шато Пино,shato-pino-grand-reserve-chardonnay-shardone-beloe-suhoe-125,shato-pino-grand-rezerv-shardone-beloe-suhoe-125.webp,prod-svoe-vino-strapi\shato_pino_grand_rezerv_shardone_beloe_suhoe_125_abadfb49a7.webp,ok,1,False,
Grand Reserve Pinot Noir,Красное,Рубиновый,Кубань,Пино Нуар,"Вкус: Бархатистый пряный ягодный. Ягоды, припудренные ванилью, свежими ягодами красной смородины, брусники и вишни.",Шато Пино,shato-pino-grand-reserve-pinot-noir-pino-nuar-krasnoe-suhoe-135,shato-pino-grand-rezerv-pino-nuar-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\shato_pino_grand_rezerv_pino_nuar_krasnoe_suhoe_135_705f6fd901.webp,ok,1,False,
Grande Cuvee,Белое,Светло-соломенный цвет с легкими золотистыми бликами.,Кубань,Шардоне,"Тонкая игра мелких пузырьков. Аромат легкий и утонченный: открывается прохладной свежестью с едва уловимыми нотами песочного печенья, затем раскрываются тона красного яблока, белой черешни и нежных полевых цветов. Вкус деликатный и свежий, с мягкой кислотностью и чистым послевкусием. Отличный аперитив.",Усадьба Дивноморское,usadba-divnomorskoe-grande-cuvee-shardone-beloe-bryut-125,usadba-divnomorskoe-grande-cuvee-shardone-igristoe-bryut-beloe-125.webp,prod-svoe-vino-strapi\usadba_divnomorskoe_grande_cuvee_shardone_igristoe_bryut_beloe_125_00b1325ee6.webp,ok,1,False,
Grande Rose,Розовое,Вино бледно-опалового цвета с золотыми переливами.,Кубань,Пино Нуар,"Аромат стройный, тонкий, с нежными цветочными нюансами, нотами красных ягод, ароматных трав и леденцов. Вкус свежий, сбалансированный, с легким покалыванием бойких пузырьков, живой кислотностью и фруктовым послевкусием. Прекрасный аперитив.",Усадьба Дивноморское,usadba-divnomorskoe-grande-rose-pino-nuar-rozovoe-ekstra-bryut-125,usadba-divnomorskoe-grande-rose-pino-nuar-igristoe-ekstra-bryut-rozovoe-125.webp,prod-svoe-vino-strapi\usadba_divnomorskoe_grande_rose_pino_nuar_igristoe_ekstra_bryut_rozovoe_125_5c852c8006.webp,ok,1,False,
Green Cape Рислинг,Белое,Светло-соломенный,Кубань,"Рислинг, Ркацители","Аромат нежный с легкими оттенками зеленого яблока, луговых цветов и разнотравья. Вкус чистый, свежий, с приятной лимонной нотой, с цветочными оттенками и утонченной минеральностью и изящным послевкусием.
",Мысхако,green-cape-risling,Мысхако Грин Кейп Рислинг.webp,prod-svoe-vino-strapi\Myshako_Grin_Kejp_Risling_db31ed429d.webp,ok,1,False,
Green Cape Совиньон Блан,Белое,Светло-соломенный,Кубань,Совиньон Блан,"Аромат элегантный, деликатный аромат с цветочными и растительными элементами и некоторыми фруктовыми тонами, возможны легкие ноты хлебной корочки. Вкус яркий, сбалансированный, с тонкими фруктовыми штрихами, выраженной кислотностью и сочным послевкусием.
",Мысхако,green-cape-sovinon-blan,Мысхако Green Cape Совиньон Блан белое сухое.webp,prod-svoe-vino-strapi\Myshako_Green_Cape_Sovinon_Blan_beloe_suhoe_cfddcfd9d5.webp,ok,1,False,
Heritage Dg Skin Contact Red,Красное,Рубиновый,Дагестан,Саперави,"Вкус: Легкий, освежающий, с деликатной танинной структурой, фруктовыми оттенками, сбалансированной кислотностью и мягким послевкусием. Яркий, душистый, с нотами лесных красных ягод, вишневой косточки, черного перца, подлеска и табачного листа.",Агролайн,agrolayn-heritage-dg-skin-contact-red-saperavi-krasnoe-suhoe-13,agrolayn-heritage-dg-skin-contact-red-saperavi-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\agrolayn_heritage_dg_skin_contact_red_saperavi_krasnoe_suhoe_13_88fc4bc8a1.webp,ok,1,False,
Heritage DG Skin contact Rkatsiteli,Красное,Соломенно-желтый с красивыми оранжевыми бликами.,Дагестан,Ркацители,"Вкус: Свежий, фруктовый с мягкой кислотностью и деликатной танинной терпкостью, легкой минеральностью в послевкусии и деликатной пряной ноткой. Выразительный, с характерными тонами забродившего яблочного сидра, дрожжей, сухих трав и минералов.",Агролайн,agrolayn-heritage-dg-skin-contact-rkatsiteli-rkatsiteli-krasnoe-suhoe-12,agrolayn-heritage-dg-skin-contact-rkatsiteli-rkatsiteli-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\agrolayn_heritage_dg_skin_contact_rkatsiteli_rkatsiteli_krasnoe_suhoe_12_a5576a9dd5.webp,ok,1,False,
Heritage DG Skin contact Rkatsiteli,Белое,Соломенно-желтый с оранжевыми бликами,Дагестан,Ркацители,"Вкус: Свежий, с фруктовым нотами, мягкой кислотностью и деликатной танинной терпкостью, легкой минеральностью в послевкусии с пряной ноткой. Выразительный с тонами забродившего яблочного сидра, дрожжей, сухих трав и минералов.",Агролайн,agrolayn-heritage-dg-skin-contact-rkatsiteli-rkatsiteli-beloe-suhoe-12,agrolayn-heritage-dg-skin-contact-rkatsiteli-rkatsiteli-beloe-suhoe-12.webp,prod-svoe-vino-strapi\agrolayn_heritage_dg_skin_contact_rkatsiteli_rkatsiteli_beloe_suhoe_12_3e44c13a6f.webp,ok,1,False,
Ice Wine Каберне,Красное,Рубиновый,Кубань,Каберне Совиньон,"В аромате тёмные ягоды, варенье, шоколад. Вкус полный, насыщенный, с бархатными танинами.",Фанагория,fanagoriya-ice-wine-kaberne-kaberne-sovinon-krasnoe-sladkoe-11,fanagoriya-ice-wine-kaberne-kaberne-sovinon-krasnoe-sladkoe-11.webp,prod-svoe-vino-strapi\fanagoriya_ice_wine_kaberne_kaberne_sovinon_krasnoe_sladkoe_11_d0c08332e8.webp,ok,1,False,
Ice Wine Мерло розовое,Розовое,Розовый,Кубань,Мерло,"В аромате красные ягоды, цветочные тона. Вкус мягкий, с длительным послевкусием.",Фанагория,fanagoriya-ice-wine-merlo-rozovoe-sladkoe-10,fanagoriya-ice-wine-merlo-rozovoe-sladkoe-10.webp,prod-svoe-vino-strapi\fanagoriya_ice_wine_merlo_rozovoe_sladkoe_10_f04efb1e6f.webp,ok,1,False,
ICE Wine Рислинг,Белое,Медовый,Кубань,Рислинг Рейнский,"Вкус: Фруктово-цветочный. Фруктово-медовые ноты, с тонами персика, груши, белых цветов в аромате и вкусе.",Шато Пино,shato-pino-ice-wine-risling-risling-reynskiy-beloe-sladkoe-11,shato-pino-ice-wine-risling-risling-reynskiy-beloe-sladkoe-11.webp,prod-svoe-vino-strapi\shato_pino_ice_wine_risling_risling_reynskiy_beloe_sladkoe_11_003c1461e3.webp,ok,1,False,
Ice Wine Рислинг тихое,Белое,Соломенный,Кубань,Рислинг,"В аромате тонкие петрольные ноты, цитрусы, мёд. Вкус фруктово-леденцовый.",Фанагория,fanagoriya-ice-wine-risling-tihoe-beloe-sladkoe-10,fanagoriya-ice-wine-risling-tihoe-beloe-sladkoe-10.webp,prod-svoe-vino-strapi\fanagoriya_ice_wine_risling_tihoe_beloe_sladkoe_10_fd6aaba610.webp,ok,1,False,
Ice Wine Саперави тихое,Красное,Тёмно-рубиновый,Кубань,Саперави,"В аромате ежевика, шелковица, фиалка, шоколад. Вкус плотный, бархатистый.",Фанагория,fanagoriya-ice-wine-saperavi-tihoe-krasnoe-sladkoe-10,fanagoriya-ice-wine-saperavi-tihoe-krasnoe-sladkoe-10.webp,prod-svoe-vino-strapi\fanagoriya_ice_wine_saperavi_tihoe_krasnoe_sladkoe_10_9c41c0131c.webp,ok,1,False,
Ice Wine Цветочный,Белое,Вино жемчужно-зеленоватого цвета.,Долина Дона,Цветочный,"В аромате цветочные нотки акации, фиалки и цветущего миндаля, пряные тона сладких подсушенных фруктов, варенья из айвы, ладана и цукатов. Вкус яркий, объемный, заметный уровень сахара нивелируется хорошей кислотностью - вино в балансе.",Винодельня Молчанова,vinodelnya-molchanova-ice-wine-tsvetochnyy-beloe-sladkoe-11,vinodelnya-molchanova-ice-wine-tsvetochnyy-beloe-sladkoe-11.webp,prod-svoe-vino-strapi\vinodelnya_molchanova_ice_wine_tsvetochnyy_beloe_sladkoe_11_b011b225f0.webp,ok,1,False,
Inkerman брют,Белое,Яркий золотистый цвет с сияющим блеском.,Крым,Шардоне,"Тонкая игра мелких пузырьков. Аромат легкий и простой, с тонами желтой груши, фруктовой пастилы, цитрусовых леденцов и сушеного яблока. Вкус простой, фруктовый, с дружелюбной кислотностью. Идеально для дачи.",Инкерманский ЗМВ,inkermanskiy-zmv-inkerman-bryut-shardone-beloe-135,inkermanskiy-zmv-inkerman-bryut-shardone-igristoe-bryut-beloe-135.webp,prod-svoe-vino-strapi\inkermanskiy_zmv_inkerman_bryut_shardone_igristoe_bryut_beloe_135_e40fffb0b1.webp,ok,1,False,
Inkerman Мускатное белое,Белое,Светло-золотистый,Крым,"Мускат Янтарный, Ркацители","Аромат тонкий, с нотками экзотических цветов, персика и цитрона, вкус гармоничный, мягкий.
",Инкерманский ЗМВ,inkerman-muskatnoe-beloe,Inkerman мускатное белое полусладкое.webp,prod-svoe-vino-strapi\Inkerman_muskatnoe_beloe_polusladkoe_092002be0d.webp,ok,1,False,
Inkerman полусладкое розе,Розовое,Яркий розовый цвет с коралловыми оттенками.,Крым,Алиготе,"Аромат яркий, ягодный, с нотами красной смородины, спелой вишни, малинового джема с апельсиновой цедрой и оттенком ягодного зефира. Вкус простой, с фруктово-ягодной ноткой и мягким сладковатым послевкусием.",Инкерманский ЗМВ,inkermanskiy-zmv-inkerman-polusladkoe-roze-aligote-rozovoe-135,inkermanskiy-zmv-inkerman-polusladkoe-roze-aligote-igristoe-polusladkoe-rozovoe-135.webp,prod-svoe-vino-strapi\inkermanskiy_zmv_inkerman_polusladkoe_roze_aligote_igristoe_polusladkoe_rozovoe_135_1956dabf85.webp,ok,1,False,
